timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;210465
messages-total;0;44;56;56;56;56;56;126;181;220;237;237;269;281;284;284;284;284;284;292;292;292;292;292;292;304;304;304;304;304;304;312;312;312;312;312;312;320;320;320;320;320;320;326
messages-soc-temperature;0;2;3;3;3;3;3;6;7;9;10;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
messages-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
messages-soc-motion;0;2;3;3;3;3;3;8;9;14;14;14;16;19;20;20;20;20;20;23;23;23;23;23;23;27;27;27;27;27;27;30;30;30;30;30;30;31;31;31;31;31;31;32
messages-soc-alarm;0;2;3;3;3;3;3;11;17;19;20;20;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
messages-soc-humidity;0;2;3;3;3;3;3;8;9;14;14;14;16;19;21;21;21;21;21;24;24;24;24;24;24;28;28;28;28;28;28;31;31;31;31;31;31;35;35;35;35;35;35;38
messages-soc-door-lock;0;2;3;3;3;3;3;14;17;19;20;20;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
messages-server;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
messages-iot-controller;0;26;29;29;29;29;29;70;82;97;107;107;124;128;128;128;128;128;128;130;130;130;130;130;130;132;132;132;132;132;132;134;134;134;134;134;134;136;136;136;136;136;136;138
messages-soc-gate;0;2;3;3;3;3;3;11;17;19;20;20;21;23;23;23;23;23;23;23;23;23;23;23;23;25;25;25;25;25;25;25;25;25;25;25;25;26;26;26;26;26;26;26
messages-soc-smoke;0;2;3;3;3;3;3;6;7;9;10;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
messages-desktop;0;2;3;3;3;3;3;6;7;9;10;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
messages-soc-light;0;2;3;3;3;3;3;6;7;9;10;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
proposals-total;0;26;26;26;26;26;26;126;171;205;208;208;231;247;258;258;258;258;258;274;274;274;274;274;274;290;290;290;290;290;290;306;306;306;306;306;306;314;314;314;314;314;314;323
proposals-soc-temperature;0;1;1;1;1;1;1;3;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
proposals-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-motion;0;1;1;1;1;1;1;10;10;18;18;18;19;27;27;27;27;27;27;35;35;35;35;35;35;43;43;43;43;43;43;51;51;51;51;51;51;51;51;51;51;51;51;52
proposals-soc-alarm;0;1;1;1;1;1;1;16;27;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
proposals-soc-humidity;0;1;1;1;1;1;1;10;10;18;18;18;19;27;28;28;28;28;28;36;36;36;36;36;36;44;44;44;44;44;44;52;52;52;52;52;52;60;60;60;60;60;60;68
proposals-soc-door-lock;0;1;1;1;1;1;1;22;27;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
proposals-server;0;0;0;0;0;0;0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
proposals-iot-controller;0;16;16;16;16;16;16;32;44;55;55;55;71;71;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81
proposals-soc-gate;0;1;1;1;1;1;1;21;33;33;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34
proposals-soc-smoke;0;1;1;1;1;1;1;3;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
proposals-desktop;0;2;2;2;2;2;2;4;4;8;8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
proposals-soc-light;0;1;1;1;1;1;1;3;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
riskCount-global;8;8;8;8;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
riskCount-total;0;1;1;1;1;1;1;38;44;59;59;59;69;71;71;71;71;71;71;73;73;73;73;73;73;75;75;75;75;75;75;77;77;77;77;77;77;79;79;79;79;79;79;81
riskCount-soc-temperature;0;1;1;1;1;1;1;2;2;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
riskCount-soc-motion;0;2;2;2;2;2;2;2;2;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-alarm;0;2;2;2;2;2;2;2;2;2;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-humidity;0;2;2;2;2;2;2;2;2;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-door-lock;0;2;2;2;2;2;2;2;2;2;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-server;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
riskCount-iot-controller;1;1;1;1;1;1;1;12;12;12;12;12;12;12;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
riskCount-soc-gate;1;4;4;4;4;4;4;4;4;4;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-soc-smoke;0;1;1;1;1;1;1;2;2;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskCount-desktop;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
riskCount-soc-light;0;1;1;1;1;1;1;2;2;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
riskUnique-global;25;25;25;25;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
riskUnique-total;0;1;1;1;1;1;1;26;32;43;43;43;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
riskDamage-global;636,01;636,01;636,01;636,01;319,39;319,39;319,39;296,67;226,86;223,94;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66;168,66
riskDamage-soc-temperature;0,00;79,64;79,64;79,64;79,64;79,64;79,64;111,35;111,35;239,38;239,38;239,38;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19
riskDamage-%-soc-temperature;0,0000;0,1252;0,1252;0,1252;0,2494;0,2494;0,2494;0,3754;0,4909;1,0690;1,4193;1,4193;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107
riskDamage-printer;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
riskDamage-%-printer;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
riskDamage-soc-motion;0,00;83,60;83,60;83,60;83,60;83,60;83,60;83,60;83,60;239,36;239,36;239,36;195,36;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,36;195,36;195,36;195,36;195,36;195,36;195,35
riskDamage-%-soc-motion;0,0000;0,1315;0,1315;0,1315;0,2618;0,2618;0,2618;0,2818;0,3685;1,0689;1,4192;1,4192;1,1583;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1583;1,1583;1,1583;1,1583;1,1583;1,1583;1,1582
riskDamage-soc-alarm;0,00;95,50;95,50;95,50;95,50;95,50;95,50;94,42;88,07;88,07;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38
riskDamage-%-soc-alarm;0,0000;0,1502;0,1502;0,1502;0,2990;0,2990;0,2990;0,3183;0,3882;0,3933;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193
riskDamage-soc-humidity;0,00;83,60;83,60;83,60;83,60;83,60;83,60;83,60;83,60;239,36;239,36;239,36;195,36;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35;195,35
riskDamage-%-soc-humidity;0,0000;0,1315;0,1315;0,1315;0,2618;0,2618;0,2618;0,2818;0,3685;1,0689;1,4192;1,4192;1,1583;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582;1,1582
riskDamage-soc-door-lock;0,00;111,35;111,35;111,35;111,35;111,35;111,35;107,75;96,49;96,49;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38
riskDamage-%-soc-door-lock;0,0000;0,1751;0,1751;0,1751;0,3486;0,3486;0,3486;0,3632;0,4253;0,4309;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193
riskDamage-server;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,97;3,97;3,97;3,97;3,97;3,97;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98
riskDamage-%-server;0,0063;0,0063;0,0063;0,0063;0,0125;0,0125;0,0125;0,0134;0,0175;0,0177;0,0235;0,0235;0,0235;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236;0,0236
riskDamage-iot-controller;79,64;79,41;79,41;79,41;79,41;79,41;79,41;295,08;298,02;236,78;236,78;236,78;193,23;193,23;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27;75,27
riskDamage-%-iot-controller;0,1252;0,1249;0,1249;0,1249;0,2486;0,2486;0,2486;0,9946;1,3137;1,0574;1,4039;1,4039;1,1457;1,1457;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463;0,4463
riskDamage-soc-gate;23,89;206,60;206,60;206,60;206,60;206,60;206,60;198,01;147,10;147,10;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38;239,38
riskDamage-%-soc-gate;0,0376;0,3248;0,3248;0,3248;0,6469;0,6469;0,6469;0,6675;0,6484;0,6569;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193;1,4193
riskDamage-soc-smoke;0,00;79,64;79,64;79,64;79,64;79,64;79,64;111,35;111,35;239,38;239,38;239,38;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19
riskDamage-%-soc-smoke;0,0000;0,1252;0,1252;0,1252;0,2494;0,2494;0,2494;0,3754;0,4909;1,0690;1,4193;1,4193;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107
riskDamage-desktop;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104,83;104,83;104,83;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07;84,07
riskDamage-%-desktop;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4681;0,6215;0,6215;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985;0,4985
riskDamage-soc-light;0,00;79,64;79,64;79,64;79,64;79,64;79,64;111,35;111,35;239,38;239,38;239,38;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19;204,19
riskDamage-%-soc-light;0,0000;0,1252;0,1252;0,1252;0,2494;0,2494;0,2494;0,3754;0,4909;1,0690;1,4193;1,4193;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107;1,2107
auctioning-time-global;0;7867;22788;22788;22788;22788;22788;43146;67367;67473;84714;84714;112723;120725;120725;120725;120725;120725;120725;124778;124778;124778;124778;124778;124778;124882;124882;124882;124882;124882;124882;124976;124976;124976;124976;124976;124976;125019;125019;125019;125019;125019;125019;125074
migrating-time-global;0;0;0;0;20006;20006;20006;32014;38018;50021;80024;80024;100026;100026;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029;120029
auctioning-time-soc-temperature;0;1111;1111;1111;1111;1111;1111;5113;9114;9114;13117;13117;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118;17118
migrating-time-soc-temperature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
migrating-time-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-soc-motion;0;612;612;612;612;612;612;657;4659;4710;4710;4710;8712;12713;12713;12713;12713;12713;12713;12764;12764;12764;12764;12764;12764;12814;12814;12814;12814;12814;12814;12858;12858;12858;12858;12858;12858;12858;12858;12858;12858;12858;12858;12858
migrating-time-soc-motion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-soc-alarm;0;1661;1661;1661;1661;1661;1661;1722;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764;1764
migrating-time-soc-alarm;0;0;0;0;0;0;0;4003;6004;6004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004;16004
auctioning-time-soc-humidity;0;2561;2561;2561;2561;2561;2561;2611;6613;6668;6668;6668;10670;14671;14671;14671;14671;14671;14671;18673;18673;18673;18673;18673;18673;18727;18727;18727;18727;18727;18727;18777;18777;18777;18777;18777;18777;18820;18820;18820;18820;18820;18820;18875
migrating-time-soc-humidity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-soc-door-lock;0;0;3261;3261;3261;3261;3261;3422;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439;3439
migrating-time-soc-door-lock;0;0;0;0;0;0;0;4002;6004;6004;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005;16005
auctioning-time-server;0;0;0;0;0;0;0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
migrating-time-server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-iot-controller;0;0;4001;4001;4001;4001;4001;8003;12004;12004;16007;16007;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008;20008
migrating-time-iot-controller;0;0;0;0;10003;10003;10003;10003;10003;12005;12005;12005;22006;22006;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007;32007
auctioning-time-soc-gate;0;361;361;361;361;361;361;456;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512;512
migrating-time-soc-gate;0;0;0;0;0;0;0;4003;6004;6004;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006;16006
auctioning-time-soc-smoke;0;1561;1561;1561;1561;1561;1561;5563;9565;9565;13568;13568;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569;17569
migrating-time-soc-smoke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-desktop;0;0;3999;3999;3999;3999;3999;8001;8001;8001;9230;9230;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231;13231
migrating-time-desktop;0;0;0;0;10003;10003;10003;10003;10003;20004;20004;20004;30005;30005;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007;40007
auctioning-time-soc-light;0;0;3660;3660;3660;3660;3660;7662;11664;11664;15667;15667;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668;19668
migrating-time-soc-light;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
